id_cliente,perfil_renda_origem,renda_media,renda_desvio,coef_variacao_renda,meses_com_renda,renda_confiavel,despesa_media_mensal,despesa_fixa_total,despesa_fixa_mensal_media,saldo_medio_mensal,comprometimento_fixo,idade,genero,perfil_financeiro
81,moderado,4754.38,1174.95,0.2471,12,True,4346.04,17474.76,1456.23,408.34,0.3063,21,F,Saudável
82,moderado,3978.94,685.25,0.1722,12,True,3899.43,18410.64,1534.22,79.51,0.3856,59,M,Saudável
83,alto,2292.56,1081.8,0.4719,12,True,2467.35,12706.44,1058.87,-174.79,0.4619,32,M,Em risco
84,estavel,5366.05,107.32,0.02,12,True,5362.05,35609.04,2967.42,4.0,0.553,18,F,Em observação
85,estavel,2189.96,152.85,0.0698,12,True,1427.5,6939.72,578.31,762.46,0.2641,55,F,Saudável
86,estavel,6401.47,547.21,0.0855,12,True,4208.09,24231.84,2019.32,2193.38,0.3154,57,M,Saudável
87,moderado,13747.38,4705.13,0.3423,12,True,11085.35,45063.24,3755.27,2662.03,0.2732,34,M,Saudável
88,moderado,4481.26,677.27,0.1511,12,True,3310.7,20095.2,1674.6,1170.56,0.3737,20,F,Saudável
89,estavel,4940.17,758.81,0.1536,12,True,3038.7,17370.12,1447.51,1901.47,0.293,28,F,Saudável
90,moderado,3044.13,692.52,0.2275,12,True,2254.16,14874.0,1239.5,789.97,0.4072,30,F,Em observação
91,estavel,1682.71,169.21,0.1006,12,True,1236.1,7817.4,651.45,446.61,0.3871,18,F,Saudável
92,moderado,2897.29,654.55,0.2259,12,True,2025.4,12354.36,1029.53,871.89,0.3553,19,F,Saudável
93,moderado,2323.79,562.91,0.2422,12,True,1773.42,8623.92,718.66,550.37,0.3093,53,F,Saudável
94,moderado,1981.49,420.7,0.2123,12,True,2045.14,11209.2,934.1,-63.65,0.4714,18,M,Em risco
95,estavel,8248.76,1259.61,0.1527,12,True,7059.81,49096.2,4091.35,1188.95,0.496,43,F,Em observação
96,moderado,4296.45,847.16,0.1972,12,True,5434.69,21012.0,1751.0,-1138.24,0.4075,31,M,Em risco
97,moderado,4508.03,1246.97,0.2766,12,True,3834.94,14990.28,1249.19,673.09,0.2771,55,F,Saudável
98,estavel,3306.67,158.0,0.0478,12,True,2538.82,13624.8,1135.4,767.85,0.3434,30,F,Saudável
99,estavel,3515.6,270.66,0.077,12,True,2885.41,16699.32,1391.61,630.19,0.3958,44,M,Saudável
100,alto,5865.27,2325.0,0.3964,12,True,5080.31,18068.64,1505.72,784.96,0.2567,54,M,Saudável
101,alto,3745.1,1770.5,0.4728,12,True,3364.39,16503.72,1375.31,380.71,0.3672,44,M,Em observação
102,moderado,4825.01,1410.14,0.2923,12,True,5760.14,28056.48,2338.04,-935.13,0.4846,40,F,Em risco
103,estavel,3479.19,264.88,0.0761,12,True,2323.55,2788.32,232.36,1155.64,0.0668,35,M,Saudável
104,alto,3257.74,1433.91,0.4402,12,True,3175.09,14747.4,1228.95,82.65,0.3772,32,M,Em observação
105,alto,2017.56,795.46,0.3943,12,True,1729.85,8228.64,685.72,287.71,0.3399,26,M,Saudável
106,moderado,1560.51,325.42,0.2085,12,True,838.31,3983.16,331.93,722.2,0.2127,57,F,Saudável
107,moderado,3378.05,474.14,0.1404,12,True,3238.62,24576.72,2048.06,139.43,0.6063,41,M,Em observação
108,estavel,3897.85,133.91,0.0344,12,True,4085.62,11650.44,970.87,-187.77,0.2491,28,F,Em risco
109,estavel,2130.26,194.58,0.0913,12,True,1418.13,5042.4,420.2,712.13,0.1973,54,F,Saudável
110,alto,3741.5,1930.43,0.516,12,True,3062.01,3674.4,306.2,679.49,0.0818,51,M,Em observação
111,moderado,3893.04,1403.29,0.3605,12,True,1983.26,8278.8,689.9,1909.78,0.1772,41,M,Saudável
112,estavel,1440.22,72.98,0.0507,12,True,854.65,3698.76,308.23,585.57,0.214,31,M,Saudável
113,estavel,2517.32,382.04,0.1518,12,True,2539.08,10466.16,872.18,-21.76,0.3465,56,M,Em risco
114,moderado,4564.32,1059.78,0.2322,12,True,3359.55,23630.52,1969.21,1204.77,0.4314,26,M,Em observação
115,estavel,4523.01,327.64,0.0724,12,True,2806.15,18490.08,1540.84,1716.86,0.3407,48,M,Saudável
116,alto,2261.09,1066.4,0.4716,12,True,1947.48,10088.28,840.69,313.61,0.3718,30,M,Em observação
117,alto,4080.84,1849.01,0.4531,12,True,2962.55,12954.96,1079.58,1118.29,0.2645,44,M,Em observação
118,moderado,6019.98,1357.62,0.2255,12,True,4426.2,30483.84,2540.32,1593.78,0.422,26,M,Em observação
119,moderado,5390.75,1075.9,0.1996,12,True,5137.81,25711.8,2142.65,252.94,0.3975,39,F,Saudável
120,moderado,3640.51,546.42,0.1501,12,True,2223.94,7933.08,661.09,1416.57,0.1816,18,F,Saudável
121,moderado,3078.41,439.65,0.1428,12,True,2022.62,3945.6,328.8,1055.79,0.1068,44,M,Saudável
122,moderado,2862.79,723.32,0.2527,12,True,2426.89,10303.68,858.64,435.9,0.2999,22,F,Saudável
123,estavel,4690.41,310.34,0.0662,12,True,4664.58,29845.68,2487.14,25.83,0.5303,27,M,Em observação
124,moderado,4148.71,789.07,0.1902,12,True,4326.56,39535.08,3294.59,-177.85,0.7941,32,F,Em risco
125,estavel,5044.17,405.68,0.0804,12,True,3532.38,18194.88,1516.24,1511.79,0.3006,22,M,Saudável
126,moderado,4032.33,1047.38,0.2597,12,True,3986.88,14601.36,1216.78,45.45,0.3018,42,F,Saudável
127,estavel,5492.84,488.96,0.089,12,True,3728.84,10839.96,903.33,1764.0,0.1645,55,F,Saudável
128,estavel,3965.25,187.15,0.0472,12,True,4554.95,27482.4,2290.2,-589.7,0.5776,56,M,Em risco
129,estavel,5409.25,764.41,0.1413,12,True,3331.67,6209.16,517.43,2077.58,0.0957,20,F,Saudável
130,moderado,5623.03,1681.06,0.299,12,True,5955.5,35915.4,2992.95,-332.47,0.5323,55,M,Em risco
131,estavel,2645.78,277.09,0.1047,12,True,1856.89,12091.8,1007.65,788.89,0.3809,31,F,Saudável
132,alto,1684.28,839.92,0.4987,12,True,1991.47,11600.88,966.74,-307.19,0.574,27,M,Em risco
133,moderado,7610.83,2147.0,0.2821,12,True,7050.96,32748.96,2729.08,559.87,0.3586,31,M,Saudável
134,estavel,4265.24,582.23,0.1365,12,True,2717.46,16459.32,1371.61,1547.78,0.3216,51,F,Saudável
135,moderado,1756.78,440.43,0.2507,12,True,1275.42,6820.56,568.38,481.36,0.3235,18,M,Saudável
136,estavel,2756.01,302.93,0.1099,12,True,2647.46,9635.16,802.93,108.55,0.2913,23,M,Saudável
137,alto,5378.15,2559.91,0.476,12,True,5429.11,45445.68,3787.14,-50.96,0.7042,59,M,Em risco
138,moderado,3350.62,553.3,0.1651,12,True,2704.86,11920.2,993.35,645.76,0.2965,49,F,Saudável
139,alto,3017.94,1463.81,0.485,12,True,2498.97,16084.2,1340.35,518.97,0.4441,43,M,Em observação
140,estavel,7137.75,142.76,0.02,12,True,6827.28,8192.76,682.73,310.47,0.0957,18,F,Saudável
141,moderado,2371.97,427.6,0.1803,12,True,2001.29,14684.76,1223.73,370.68,0.5159,45,F,Em observação
142,moderado,2653.37,756.68,0.2852,12,True,1557.98,11971.2,997.6,1095.39,0.376,45,F,Saudável
143,alto,4179.22,2056.22,0.492,12,True,2815.39,14340.72,1195.06,1363.83,0.286,36,M,Em observação
144,moderado,4529.93,1333.48,0.2944,12,True,3906.26,23616.36,1968.03,623.67,0.4345,52,M,Em observação
145,moderado,4751.0,980.68,0.2064,12,True,4935.28,29835.36,2486.28,-184.28,0.5233,59,F,Em risco
146,estavel,5726.23,128.2,0.0224,12,True,6361.14,24700.2,2058.35,-634.91,0.3595,40,M,Em risco
147,estavel,4155.2,282.46,0.068,12,True,3990.3,24040.8,2003.4,164.9,0.4821,23,F,Em observação
148,moderado,4736.15,1066.11,0.2251,12,True,4128.56,14798.64,1233.22,607.59,0.2604,32,F,Saudável
149,moderado,3381.63,757.31,0.2239,12,True,3228.73,12734.88,1061.24,152.9,0.3138,42,F,Saudável
150,estavel,3908.74,534.26,0.1367,12,True,2736.06,19339.8,1611.65,1172.68,0.4123,29,F,Em observação
151,alto,3988.41,1722.74,0.4319,12,True,3160.49,21473.64,1789.47,827.92,0.4487,41,M,Em observação
152,alto,4186.21,1957.48,0.4676,12,True,2811.7,10596.0,883.0,1374.51,0.2109,44,M,Em observação
153,estavel,5379.76,164.45,0.0306,12,True,3202.17,11910.72,992.56,2177.59,0.1845,41,M,Saudável
154,moderado,4878.4,1183.09,0.2425,12,True,4293.18,16648.68,1387.39,585.22,0.2844,42,M,Saudável
155,estavel,3876.37,310.71,0.0802,12,True,3308.06,21035.16,1752.93,568.31,0.4522,51,F,Em observação
156,moderado,2640.3,481.88,0.1825,12,True,2491.86,8073.72,672.81,148.44,0.2548,27,F,Saudável
157,estavel,3917.5,267.21,0.0682,12,True,3597.44,20440.92,1703.41,320.06,0.4348,39,M,Em observação
158,moderado,3752.39,790.97,0.2108,12,True,3240.85,20690.64,1724.22,511.54,0.4595,54,F,Em observação
159,moderado,4145.12,855.94,0.2065,12,True,3814.3,18618.24,1551.52,330.82,0.3743,42,F,Saudável
160,alto,10256.76,5523.95,0.5386,12,True,8331.74,57140.04,4761.67,1925.02,0.4642,41,F,Em observação
161,estavel,3002.07,225.39,0.0751,12,True,2684.81,12060.84,1005.07,317.26,0.3348,26,F,Saudável
162,alto,4595.29,2011.84,0.4378,12,True,3167.51,14745.0,1228.75,1427.78,0.2674,54,F,Em observação
163,estavel,6146.05,122.92,0.02,12,True,5448.76,17877.12,1489.76,697.29,0.2424,37,M,Saudável
164,estavel,3971.33,140.15,0.0353,12,True,3734.3,25658.04,2138.17,237.03,0.5384,22,M,Em observação
165,moderado,10881.14,2250.72,0.2068,12,True,7610.89,27857.88,2321.49,3270.25,0.2133,39,F,Saudável
166,moderado,3205.55,595.29,0.1857,12,True,2658.46,15072.36,1256.03,547.09,0.3918,47,F,Saudável
167,alto,4396.64,2282.23,0.5191,12,True,3111.73,15283.68,1273.64,1284.91,0.2897,44,F,Em observação
168,alto,2652.6,1171.79,0.4418,12,True,1923.74,6050.16,504.18,728.86,0.1901,38,F,Em observação
169,estavel,3244.03,468.51,0.1444,12,True,2003.23,7899.96,658.33,1240.8,0.2029,58,M,Saudável
170,alto,4250.43,1925.81,0.4531,12,True,4453.77,33533.16,2794.43,-203.34,0.6574,41,M,Em risco
171,estavel,5561.33,455.26,0.0819,12,True,5627.08,30403.08,2533.59,-65.75,0.4556,46,F,Em risco
172,moderado,4386.77,945.61,0.2156,12,True,4021.52,12963.48,1080.29,365.25,0.2463,38,F,Saudável
173,estavel,6696.62,537.0,0.0802,12,True,7868.5,43981.68,3665.14,-1171.88,0.5473,19,F,Em risco
174,alto,3641.03,1951.37,0.5359,12,True,2861.62,13669.92,1139.16,779.41,0.3129,52,F,Em observação
175,estavel,3272.41,65.45,0.02,12,True,4469.19,45585.72,3798.81,-1196.78,1.1609,27,M,Em risco
176,estavel,12830.11,256.6,0.02,12,True,9995.23,55505.76,4625.48,2834.88,0.3605,49,F,Saudável
177,moderado,4537.64,875.05,0.1928,12,True,3929.3,17111.64,1425.97,608.34,0.3143,58,M,Saudável
178,alto,2748.99,1239.04,0.4507,12,True,2057.34,15627.6,1302.3,691.65,0.4737,25,M,Em observação
179,alto,2780.37,1347.1,0.4845,12,True,2466.24,4257.12,354.76,314.13,0.1276,52,F,Em observação
180,moderado,2486.3,605.8,0.2437,12,True,2412.73,12569.76,1047.48,73.57,0.4213,53,F,Em observação
181,alto,5791.88,2495.07,0.4308,12,True,4630.58,39961.8,3330.15,1161.3,0.575,35,F,Em observação
182,alto,3225.32,1615.73,0.501,12,True,3676.25,17759.4,1479.95,-450.93,0.4589,35,M,Em risco
183,moderado,4024.15,1092.6,0.2715,12,True,3473.03,6668.4,555.7,551.12,0.1381,49,M,Saudável
184,estavel,3692.94,329.42,0.0892,12,True,3208.01,13882.2,1156.85,484.93,0.3133,51,M,Saudável
185,alto,5281.3,2630.79,0.4981,12,True,3466.54,26547.24,2212.27,1814.76,0.4189,23,F,Em observação
186,moderado,2595.99,606.51,0.2336,12,True,2324.27,13287.72,1107.31,271.72,0.4265,37,F,Em observação
187,moderado,2341.97,449.48,0.1919,12,True,1863.92,6579.72,548.31,478.05,0.2341,30,M,Saudável
188,estavel,4203.57,482.95,0.1149,12,True,2986.71,11369.04,947.42,1216.86,0.2254,36,M,Saudável
189,moderado,4980.01,1123.14,0.2255,12,True,3387.58,13660.56,1138.38,1592.43,0.2286,37,M,Saudável
190,estavel,4413.38,353.37,0.0801,12,True,5741.44,32669.64,2722.47,-1328.06,0.6169,39,F,Em risco
191,alto,2639.92,1382.39,0.5236,12,True,2039.53,15192.0,1266.0,600.39,0.4796,40,M,Em observação
192,estavel,5154.5,103.09,0.02,12,True,2874.88,19935.48,1661.29,2279.62,0.3223,22,F,Saudável
193,estavel,2719.0,54.38,0.02,12,True,1887.86,11064.36,922.03,831.14,0.3391,57,F,Saudável
194,alto,3005.09,1173.93,0.3906,12,True,2436.28,6439.2,536.6,568.81,0.1786,47,M,Saudável
195,estavel,2484.87,153.66,0.0618,12,True,2282.1,6046.92,503.91,202.77,0.2028,44,F,Saudável
196,estavel,6824.52,459.08,0.0673,12,True,6277.63,37664.88,3138.74,546.89,0.4599,50,M,Em observação
197,moderado,5053.3,730.88,0.1446,12,True,4759.15,12460.2,1038.35,294.15,0.2055,41,M,Saudável
198,alto,4989.06,1999.33,0.4007,12,True,3511.92,16274.16,1356.18,1477.14,0.2718,46,F,Em observação
199,estavel,6660.84,246.17,0.037,12,True,5870.06,32798.76,2733.23,790.78,0.4103,20,F,Em observação
200,estavel,13473.07,2733.3,0.2029,12,True,8923.34,26701.56,2225.13,4549.73,0.1652,29,M,Saudável
201,alto,1760.94,951.06,0.5401,12,True,1247.56,3987.6,332.3,513.38,0.1887,34,F,Em observação
202,alto,2725.72,1170.46,0.4294,12,True,1784.84,8693.16,724.43,940.88,0.2658,46,M,Em observação
203,moderado,2879.8,581.2,0.2018,12,True,1745.42,10379.28,864.94,1134.38,0.3003,31,M,Saudável
204,estavel,2591.23,58.41,0.0225,12,True,2621.18,18219.12,1518.26,-29.95,0.5859,33,M,Em risco
205,estavel,2339.85,46.8,0.02,12,True,2208.7,13545.24,1128.77,131.15,0.4824,22,F,Em observação
206,estavel,3320.64,246.25,0.0742,12,True,3306.69,17104.08,1425.34,13.95,0.4292,26,F,Em observação
207,estavel,2197.96,66.17,0.0301,12,True,1817.88,6720.48,560.04,380.08,0.2548,19,F,Saudável
208,moderado,4418.37,953.3,0.2158,12,True,4240.86,13199.16,1099.93,177.51,0.2489,37,F,Saudável
209,estavel,3889.44,77.79,0.02,12,True,1956.26,8060.64,671.72,1933.18,0.1727,26,M,Saudável
210,moderado,4718.37,858.28,0.1819,12,True,4602.09,26590.32,2215.86,116.28,0.4696,41,M,Em observação
211,moderado,4775.41,1086.08,0.2274,12,True,4068.08,22968.12,1914.01,707.33,0.4008,60,M,Em observação
212,moderado,4984.6,1187.88,0.2383,12,True,4650.03,5859.84,488.32,334.57,0.098,18,M,Saudável
213,estavel,3212.24,324.03,0.1009,12,True,2853.77,10347.12,862.26,358.47,0.2684,24,F,Saudável
214,alto,9870.16,3789.9,0.384,12,True,6339.9,45698.76,3808.23,3530.26,0.3858,28,F,Saudável
215,moderado,4222.79,1109.47,0.2627,12,True,2324.02,12044.4,1003.7,1898.77,0.2377,50,F,Saudável
216,moderado,1643.59,295.83,0.18,12,True,1137.09,2830.68,235.89,506.5,0.1435,45,F,Saudável
217,estavel,2420.4,270.22,0.1116,12,True,2230.85,20703.36,1725.28,189.55,0.7128,36,M,Em risco
218,estavel,1736.33,137.98,0.0795,12,True,1639.47,8177.52,681.46,96.86,0.3925,42,F,Saudável
219,alto,3829.76,1459.83,0.3812,12,True,2197.4,12595.08,1049.59,1632.36,0.2741,32,M,Saudável
220,moderado,3597.32,734.54,0.2042,12,True,2314.52,13329.6,1110.8,1282.8,0.3088,31,F,Saudável
221,estavel,3077.78,302.45,0.0983,12,True,2123.11,9295.68,774.64,954.67,0.2517,34,M,Saudável
222,moderado,9392.56,2354.23,0.2506,12,True,7097.82,26477.52,2206.46,2294.74,0.2349,29,F,Saudável
223,moderado,4864.89,1035.98,0.213,12,True,2796.49,24774.12,2064.51,2068.4,0.4244,37,F,Em observação
224,alto,5268.5,2774.33,0.5266,12,True,2971.6,20342.88,1695.24,2296.9,0.3218,60,F,Em observação
225,estavel,2499.32,325.85,0.1304,12,True,1679.72,10950.96,912.58,819.6,0.3651,32,M,Saudável
226,alto,2423.92,1059.66,0.4372,12,True,2025.25,12308.04,1025.67,398.67,0.4231,56,M,Em observação
227,estavel,3863.46,453.98,0.1175,12,True,2347.02,7590.36,632.53,1516.44,0.1637,40,F,Saudável
228,moderado,4107.66,1300.85,0.3167,12,True,3282.66,24093.24,2007.77,825.0,0.4888,30,F,Em observação
229,moderado,1648.16,524.15,0.318,12,True,1665.53,5866.56,488.88,-17.37,0.2966,49,M,Em risco
230,estavel,3503.85,70.08,0.02,12,True,2052.13,11389.2,949.1,1451.72,0.2709,39,F,Saudável
231,estavel,3824.14,128.77,0.0337,12,True,2993.69,6254.16,521.18,830.45,0.1363,34,M,Saudável
232,moderado,3449.34,1014.95,0.2942,12,True,3464.71,4734.36,394.53,-15.37,0.1144,24,F,Em risco
233,alto,2635.24,1046.42,0.3971,12,True,1962.49,11015.28,917.94,672.75,0.3483,43,M,Saudável
234,moderado,2980.86,458.67,0.1539,12,True,2136.5,7656.36,638.03,844.36,0.214,39,F,Saudável
235,alto,3509.29,1493.87,0.4257,12,True,3612.57,5272.56,439.38,-103.28,0.1252,46,M,Em risco
236,alto,3958.48,1864.49,0.471,12,True,3027.78,18206.28,1517.19,930.7,0.3833,35,M,Em observação
237,moderado,4988.61,1071.95,0.2149,12,True,5082.44,45010.8,3750.9,-93.83,0.7519,27,M,Em risco
238,alto,6180.42,2580.15,0.4175,12,True,5545.16,41817.24,3484.77,635.26,0.5638,34,M,Em observação
239,estavel,3328.58,154.08,0.0463,12,True,2524.02,11552.04,962.67,804.56,0.2892,26,M,Saudável
240,estavel,3094.82,137.36,0.0444,12,True,2804.97,14181.72,1181.81,289.85,0.3819,44,F,Saudável
241,alto,4627.17,1878.74,0.406,12,True,4061.18,26957.64,2246.47,565.99,0.4855,40,F,Em observação
